"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"BB[237,1]",-0.468791413219387,1.04033283335109,-2.54244843018038,-1.14338400085394,-0.462340530023727,0.218837741212403,1.56956686126865,1.00134628099713,5300
"BB[238,1]",2.63973683817063,0.981823087584626,0.909145335155356,1.96036557141411,2.5636431153541,3.24523199115416,4.7497946769002,1.00129255063216,6100
"BB[239,1]",2.85536225839393,1.18614589912575,0.759765054627548,2.03048353596022,2.75874028435811,3.60208855856417,5.40606925367109,1.00102790238311,32000
"BB[240,1]",-0.914604188266062,1.49496999694767,-3.94203664335144,-1.88509564439948,-0.894925904833653,0.10954797822497,1.90755287409282,1.00123621692894,7400
"BB[241,1]",-2.32495421198082,1.58276180343863,-5.59827258853215,-3.33190091095331,-2.28695800323958,-1.24882190449866,0.646213619023698,1.00154016190386,3500
"BB[242,1]",1.89883459729614,0.685779728385263,0.672362559694977,1.42064216161524,1.86474343176425,2.32887858834586,3.36578553557301,1.00112570027823,12000
"BB[243,1]",1.92231509749539,0.94610585395624,0.218791135672241,1.26734722720436,1.86927529438725,2.51218919215258,3.92275185072382,1.00111449341434,13000
"BB[244,1]",1.46208756421913,0.897821814267433,-0.191885396058008,0.852408377415645,1.42505392812584,2.04214865704773,3.33301119664328,1.00131132953807,5800
"BB[245,1]",1.57185218173268,0.799471134169961,0.129091499586061,1.01886830951381,1.52395361900455,2.08058076920792,3.25820622833495,1.00115073774694,11000
"BB[246,1]",-0.360589740364184,0.654839543318303,-1.67194546885004,-0.786260995194192,-0.355165014817866,0.0843729995340763,0.900236963940572,1.00174449803701,2600
"BB[247,1]",-0.41926489076052,1.44169518766039,-3.34970859065254,-1.34339908875808,-0.389284438030272,0.537428633703572,2.33411903980175,1.00132668371048,5500
"BB[248,1]",0.54268063167812,0.94805506296094,-1.24367214488357,-0.0922195029255028,0.509523503349815,1.14354184367591,2.50818512032594,1.00104598884854,25000
"BB[249,1]",-1.17139074540177,0.747664801355525,-2.74338178325569,-1.6430565463451,-1.13381378747915,-0.65407640259528,0.17993510839082,1.00102078290883,36000
"BB[250,1]",1.23927582351545,1.46730906469783,-1.52662855498627,0.241457060446784,1.2065771013437,2.16620336539656,4.26350993983181,1.00117063364324,9700
"BB[251,1]",2.33884582086526,0.762493516765145,1.0000672365803,1.79693402137368,2.2923967366343,2.82056943951267,3.95653157395726,1.00097393591679,45000
"BB[252,1]",2.54994708787023,0.817579493012044,1.13548695994847,1.96654837231884,2.49988026304908,3.05880410486422,4.32543160446754,1.00099258457975,45000
"BB[253,1]",-0.960569647288884,0.946054796476033,-2.92786048691181,-1.55662355311204,-0.918762659465215,-0.32389854919076,0.817145688556339,1.00117768296551,9400
"BB[254,1]",1.77595342602039,1.20205939878748,-0.457972867738054,0.949718402136428,1.7299675151487,2.54277129165889,4.25745270788375,1.00114314957399,11000
"BB[255,1]",-3.27097493535913,1.42674994819669,-6.27168815672077,-4.17549756347787,-3.18818234085212,-2.27454622043623,-0.683519048664535,1.00122310732145,7800
"BB[256,1]",-2.46640832037782,1.12058444365102,-4.88553257476606,-3.16534231875222,-2.3964647916665,-1.6811389648668,-0.507142221303801,1.00193240567215,2100
"BB[257,1]",-0.689574444815672,0.875751068320323,-2.51082880199317,-1.24589730064274,-0.664938984994596,-0.093550980942362,0.974176481136223,1.00110618875732,14000
"BB[258,1]",-3.3090255956345,1.42770059607313,-6.37193211043814,-4.19828568297241,-3.21118771456176,-2.30865155608734,-0.792840745654855,1.0011081100127,14000
"BB[259,1]",-1.70247928372062,1.14591401642496,-4.09953459975327,-2.43957388753981,-1.64450307160455,-0.897865184031191,0.388959724521911,1.00114187380329,11000
"BB[260,1]",-3.94399481328507,1.52728851374934,-7.11360346950348,-4.94047776264389,-3.8626566776719,-2.8545978340923,-1.19315399926508,1.00140551794483,4500
"BB[261,1]",1.24058616121622,0.637530532841883,0.0370172285696057,0.809664488041871,1.22230781089322,1.64895315000305,2.54975182513474,1.00132616233775,5500
"BB[262,1]",-4.48099490589552,1.60400199672213,-7.80558898362318,-5.53595266824001,-4.38934856962805,-3.33818076714875,-1.62218234841212,1.00176231730191,2500
"BB[263,1]",-2.87489524498016,1.59882510122065,-6.14056314974855,-3.90984784188574,-2.81864250053972,-1.76104164558785,0.0803398374612853,1.00114459841757,11000
"BB[264,1]",-1.69380150262713,1.06376310768291,-3.9788553099507,-2.35296366645801,-1.63113714958823,-0.971167483660485,0.231970602645104,1.00106507382769,20000
"BB[265,1]",-3.61404670378754,1.45719131935942,-6.72390569368384,-4.55372534615524,-3.51949800626064,-2.59853914081776,-1.05655549518306,1.00131767662079,5700
"BB[266,1]",-3.37134450104968,1.61815236623415,-6.71671383577339,-4.41159319194885,-3.31719324010961,-2.26222407211228,-0.368705288397013,1.0010032774199,45000
"BB[267,1]",0.723207255029788,1.1728904343083,-1.53684234081203,-0.0481113106469078,0.689800007830441,1.47428869602256,3.11218073785474,1.00112293174469,13000
"BB[268,1]",2.40020544851343,0.727160364432053,1.13987070309925,1.89522611467911,2.34149157267598,2.84818533242977,3.97948394213111,1.00101596453523,39000
"BB[269,1]",-1.5659733703106,1.28999888015077,-4.29411815856763,-2.37475867327499,-1.49444789917268,-0.691848281989348,0.797821290425645,1.00153006047232,3500
"BB[270,1]",-0.0733705369945825,0.502610789201832,-1.07243293787767,-0.411059049409102,-0.0674785781468428,0.260061890048813,0.911654555459449,1.0015070900832,3700
"BB[271,1]",-0.555535564872248,0.647337685248651,-1.87362789921946,-0.974689484030999,-0.536153265675706,-0.119788181189281,0.674389874544068,1.00115975526392,10000
"BB[272,1]",-2.66611427081696,1.63164936279552,-5.95206048878133,-3.73922630804535,-2.62957152473123,-1.55492659960343,0.452090924122776,1.000993564333,45000
"BB[273,1]",1.40211158493164,0.571992001286485,0.353940654731699,1.01106849321238,1.37326216947685,1.76066836813853,2.60609385939191,1.00100261322829,45000
"BB[274,1]",-0.98490568202543,0.889716132610923,-2.82580331948918,-1.55762237820955,-0.945700635857253,-0.384557209688106,0.674126874292817,1.0010826131505,17000
"BB[275,1]",1.40521769259092,0.794192609768753,-0.0620644090221787,0.865622355577548,1.36612485938856,1.91364683708255,3.097529338077,1.00134365803547,5300
"BB[276,1]",-1.43753823606642,1.44005725382922,-4.39851495101348,-2.37411879530352,-1.37709095206007,-0.46570839386212,1.2690497712486,1.0010288591687,31000
"BB[277,1]",-1.12855870644892,1.42397674155552,-4.04232997695031,-2.06740162199442,-1.07147404921124,-0.178375248672611,1.55625287163339,1.00125410436544,6900
"BB[278,1]",-2.27299616247989,1.09226572637835,-4.63762324032088,-2.94489977476221,-2.18296389745199,-1.51910394701193,-0.36568303290603,1.00111123997181,14000
"BB[279,1]",-1.585821841711,1.31237868782524,-4.38612619958472,-2.41765758925233,-1.52405433990584,-0.689326865938247,0.824943392294424,1.00120071755628,8500
"BB[280,1]",-2.43131175639028,1.52433211329693,-5.62200856994017,-3.40346642366058,-2.35002401197563,-1.38886658994375,0.361907379813386,1.00116891237107,9800
"BB[281,1]",-0.547868161771668,0.805572503147809,-2.17471048832695,-1.06495665024907,-0.533589515714501,-0.00978227812193466,1.00776573896218,1.0009995624912,45000
"BB[282,1]",-2.69361143962624,1.22931870157702,-5.33804128173254,-3.47441671235915,-2.60361568440278,-1.82509928254109,-0.541448624856419,1.00114445832895,11000
"BB[283,1]",-0.111363825687505,1.0035575126017,-2.12616115613479,-0.768875273305986,-0.100773823693629,0.540353541835062,1.85028704935415,1.00113016135513,12000
"BB[284,1]",-2.13158019820749,1.04029872691171,-4.37383235637064,-2.77926966067573,-2.06041260571001,-1.41382190588496,-0.301739070593382,1.00115148903713,11000
"BB[285,1]",-1.96132229981592,1.39840968659221,-4.92029767112937,-2.83953715885584,-1.90437774342873,-1.0161184332155,0.61352524363921,1.00106897030691,19000
"BB[286,1]",-1.99051973753143,1.34710850211295,-4.8964622569988,-2.82908110487327,-1.91405114926935,-1.04976619698038,0.443031898058534,1.00112009540524,13000
"BB[287,1]",-3.63538212564841,1.62711465230818,-6.91612161469383,-4.69850869279645,-3.59102275554177,-2.51345353771475,-0.577171208102488,1.00115917827458,10000
"BB[288,1]",-4.37505101216417,1.70329766525765,-7.82017053333657,-5.50498495561742,-4.31614143176943,-3.1917276363466,-1.18552681808972,1.00112854015607,12000
"BB[289,1]",-2.74569591486861,1.38536029502466,-5.63519097842237,-3.63573822070588,-2.68231704165486,-1.79491134239991,-0.215183904931164,1.00096890176208,45000
"BB[290,1]",-3.36927023506448,1.53371553730719,-6.60280868102212,-4.35971478298765,-3.2991695179253,-2.30482152098053,-0.602960779785751,1.00153201475753,3500
"BB[291,1]",-2.57447255900849,1.55364146685308,-5.77674322265774,-3.5907432437769,-2.50249827599677,-1.48455567875196,0.276677848522145,1.00114319384966,11000
"BB[292,1]",-3.86346786910526,1.64133788679099,-7.24192791647584,-4.95129623866614,-3.80471342751431,-2.7241483173757,-0.794597694959063,1.00100767723121,45000
"BB[293,1]",-4.23906960179244,1.40463525117421,-7.28051174841425,-5.11682645814651,-4.11969046797941,-3.25145948102661,-1.80754046155789,1.00106063903471,21000
"BB[294,1]",-3.64769473625914,1.64500182099321,-7.04998701257451,-4.73417130480771,-3.6062689446478,-2.50032904725748,-0.598453672951051,1.00125221174505,7000
